ImageId,Label
1,7
2,7
3,7
4,8
5,4
6,7
7,4
8,7
9,7
10,7
11,7
12,7
13,7
14,7
15,7
16,7
17,7
18,4
19,7
20,4
21,7
22,4
23,7
24,7
25,7
26,7
27,7
28,7
29,7
30,7
31,7
32,7
33,7
34,7
35,7
36,7
37,7
38,7
39,4
40,8
41,7
42,7
43,7
44,7
45,7
46,7
47,4
48,7
49,8
50,7
51,8
52,7
53,4
54,7
55,4
56,7
57,7
58,7
59,4
60,7
61,7
62,7
63,7
64,7
65,7
66,7
67,7
68,7
69,7
70,7
71,4
72,7
73,7
74,4
75,7
76,7
77,7
78,7
79,7
80,7
81,7
82,4
83,4
84,4
85,7
86,7
87,7
88,7
89,4
90,7
91,7
92,7
93,7
94,7
95,7
96,4
97,7
98,7
99,7
100,4
101,7
102,7
103,7
104,7
105,7
106,7
107,7
108,7
109,7
110,7
111,7
112,7
113,7
114,7
115,4
116,7
117,7
118,7
119,7
120,4
121,7
122,7
123,7
124,4
125,7
126,7
127,7
128,7
129,4
130,4
131,7
132,7
133,7
134,7
135,7
136,4
137,7
138,4
139,7
140,4
141,4
142,7
143,7
144,7
145,7
146,7
147,4
148,7
149,7
150,4
151,7
152,7
153,7
154,7
155,7
156,7
157,7
158,7
159,7
160,8
161,7
162,7
163,4
164,7
165,4
166,7
167,7
168,4
169,7
170,7
171,8
172,7
173,7
174,4
175,7
176,7
177,7
178,7
179,4
180,7
181,4
182,4
183,7
184,8
185,7
186,7
187,7
188,4
189,7
190,7
191,7
192,4
193,7
194,7
195,4
196,7
197,7
198,7
199,7
200,7
201,4
202,8
203,7
204,7
205,7
206,7
207,4
208,7
209,7
210,7
211,4
212,7
213,7
214,7
215,7
216,7
217,8
218,4
219,7
220,7
221,7
222,7
223,4
224,4
225,7
226,4
227,7
228,7
229,4
230,7
231,7
232,7
233,8
234,4
235,7
236,7
237,8
238,7
239,7
240,7
241,7
242,7
243,7
244,7
245,7
246,7
247,4
248,7
249,7
250,7
251,7
252,7
253,4
254,4
255,7
256,7
257,7
258,7
259,7
260,7
261,8
262,8
263,7
264,7
265,7
266,7
267,7
268,7
269,7
270,7
271,7
272,7
273,7
274,7
275,7
276,4
277,7
278,7
279,4
280,7
281,4
282,7
283,7
284,7
285,7
286,7
287,7
288,4
289,7
290,4
291,7
292,4
293,7
294,7
295,7
296,7
297,7
298,4
299,8
300,7
301,7
302,7
303,4
304,7
305,4
306,7
307,4
308,7
309,4
310,7
311,4
312,7
313,7
314,7
315,8
316,7
317,7
318,4
319,8
320,4
321,7
322,7
323,8
324,7
325,4
326,7
327,7
328,4
329,8
330,7
331,7
332,7
333,8
334,4
